Date,Tesla Model 3,Tesla Model X,Tesla Model S,Chevrolet Bolt,Chevrolet Volt,Total Tesla,Total Chevrolet
1/1/2017,,750,900,1162,1611,1650,2773
2/1/2017,,800,1750,952,1820,2550,2772
3/1/2017,,2750,3450,978,2132,6200,3110
4/1/2017,,715,1125,1292,1807,1840,3099
5/1/2017,,1730,1620,1566,1817,3350,3383
6/1/2017,,2200,2350,1642,1745,4550,3387
7/1/2017,30,1650,1425,1971,1518,3105,3489
8/1/2017,75,1575,2150,2107,1445,3800,3552
9/1/2017,117,3120,4860,2632,1453,8097,4085
10/1/2017,145,850,1120,2781,1362,2115,4143
11/1/2017,337,1875,1335,2987,1702,3547,4689
12/1/2017,1060,3300,4975,3227,1937,9335,5164
1/1/2018,1875,700,800,1177,713,3375,1890
2/1/2018,2485,975,1125,1424,983,4585,2407
3/1/2018,3820,2825,3375,1774,1782,10020,3556
4/1/2018,3750,1025,1250,1275,1325,6025,2600
5/1/2018,6000,1450,1520,1125,1675,8970,2800
6/1/2018,5902,2550,2750,1083,1336,11202,2419
7/1/2018,14250,1325,1200,1175,1475,16775,2650
8/1/2018,17800,2750,2625,1225,1825,23175,3050
9/1/2018,22250,3975,3750,1549,2129,29975,3678
10/1/2018,17750,1225,1350,1975,1475,20325,3450
11/1/2018,18650,3200,2750,2825,2530,24600,5355
12/1/2018,25250,4100,3250,1412,1058,32600,2470
1/1/2019,"6,500",775,725,925,675,8000,1600
2/1/2019,"5,750",900,625,"1,225",615,7275,1840
3/1/2019,"10,175","2,175","2,275","2,166","1,230",14625,3396
4/1/2019,"10,050","1,050",825,910,405,11925,1315
5/1/2019,"13,950","1,375","1,025","1,396",408,16350,1804
6/1/2019,"21,225","2,725","1,750","1,659",333,25700,1992
7/1/2019,"12,550","1,225",975,985,250,14750,1235
8/1/2019,"12,350","1,825","1,050","1,720",274,15225,1994
9/1/2019,"19,100","1,675","1,100","2,125",350,21875,2475
10/1/2019,15758,1833.3,1250,1102.3,123.33,18841.3,1225.63
11/1/2019,15758,1833.3,1250,1102.3,123.33,18841.3,1225.63
12/1/2019,15758,1833.3,1250,1102.3,123.33,18841.3,1225.63
