Date,TeslaCreditAvailable,ChevroletCreditAvailable
1/1/2017,7500,7500
2/1/2017,7500,7500
3/1/2017,7500,7500
4/1/2017,7500,7500
5/1/2017,7500,7500
6/1/2017,7500,7500
7/1/2017,7500,7500
8/1/2017,7500,7500
9/1/2017,7500,7500
10/1/2017,7500,7500
11/1/2017,7500,7500
12/1/2017,7500,7500
1/1/2018,7500,7500
2/1/2018,7500,7500
3/1/2018,7500,7500
4/1/2018,7500,7500
5/1/2018,7500,7500
6/1/2018,7500,7500
7/1/2018,7500,7500
8/1/2018,7500,7500
9/1/2018,7500,7500
10/1/2018,7500,7500
11/1/2018,7500,7500
12/1/2018,7500,7500
1/1/2019,3750,7500
2/1/2019,3750,7500
3/1/2019,3750,7500
4/1/2019,3750,3750
5/1/2019,3750,3750
6/1/2019,3750,3750
7/1/2019,1875,3750
8/1/2019,1875,3750
9/1/2019,1875,3750
10/1/2019,1875,1875
11/1/2019,1875,1875
12/1/2019,1875,1875
